,Gia du doan,Gia thuc,% sai lech
1915,131001.1145954758,127500.0,2.7459722317457222
5515,170061.98972294573,175000.0,2.8217201583167273
6312,83557.67820040222,81250.0,2.840219323571968
9504,80124.89563728053,82500.0,2.878914379053908
10309,96449.37565563437,93750.0,2.8793340326766637
12899,84973.06579919212,87500.0,2.887924800923294
11379,74841.90591677662,77083.0,2.907377869599491
5732,81529.23682496317,79167.0,2.9838655310459776
1380,72950.35353283599,70833.0,2.989219054446355
7755,96995.7780655483,100000.0,3.004221934451707
1844,70721.87706331444,72917.0,3.010440551154813
481,72950.35353283599,70792.0,3.0488664437167854
4385,103918.148070801,100833.0,3.059661093888911
4207,181734.458600101,187500.0,3.0749554132794654
10441,153817.15345958428,149167.0,3.1174143473987423
742,76495.57924477142,74167.0,3.13964329792417
4640,181593.08853917342,187500.0,3.15035277910751
8676,77676.15285071991,80208.0,3.15660177199293
4756,43369.737652096344,44792.0,3.1752597515262897
11902,73948.89650767134,71667.0,3.1840268291840537
9124,165573.8443567829,160417.0,3.2146495426188677
8656,135614.97411310032,131250.0,3.325694562362152
9262,97948.82062082154,94792.0,3.330260592477784
7763,36605.34074355106,35417.0,3.3552834614762967
3343,107646.03619133327,104125.0,3.3815473626249934
10286,88308.14809513435,85417.0,3.384745536760077
9507,99952.60599854759,96667.0,3.3988910368042737
3059,87046.36086751313,84167.0,3.4210092643353396
12523,253502.74702500686,262500.0,3.4275249428545305
11862,235384.62125907536,243750.0,3.4319502526870336
4649,228601.30016334413,220833.0,3.517726138459438
3981,258940.2235267195,250000.0,3.5760894106877967
12177,38846.78385884302,40333.0,3.684863861247572
10127,151238.5836753727,145833.0,3.706694421271389
2850,120299.17491982419,125000.0,3.760660064140649
5853,127599.83260219624,122917.0,3.809751785510745
5694,68130.58410253724,70833.0,3.815193338504319
5907,91758.30712958648,95417.0,3.834424547421865
3518,240302.3011115819,250000.0,3.879079555367236
9359,198222.80817933538,206250.0,3.8919717918373924
4896,68396.38036747003,65833.0,3.8937620455850896
10235,108234.43397026941,104167.0,3.904724116341464
4939,164143.94239636714,170833.0,3.915553554426169
6216,104058.7522678676,108333.0,3.945471584957858
3998,86626.07403552673,83333.0,3.9517046494506785
382,73650.31921389731,70833.0,3.9774105486105484
5241,113993.62179010043,118750.0,4.005371124125956
9710,45516.229282782966,43750.0,4.037095503503922
637,80208.949217833,77083.0,4.055303008228788
7986,195840.76843866642,204167.0,4.078147575922446
3525,83883.76602990419,87500.0,4.132838822966641
4249,167762.212377769,175000.0,4.135878641274857
5618,59852.227867178866,62500.0,4.236435412513814
11735,87513.9688324534,91417.0,4.26948069565463
769,78215.67358848345,75000.0,4.287564784644599
11417,155526.74184076465,162500.0,4.291235790298678
11942,78933.53025278116,82500.0,4.322993632992535
8246,159453.2709852227,166667.0,4.328228752408868
6636,90059.76515951338,94167.0,4.36164987786233
8885,191273.16732171475,200000.0,4.363416339142626
12638,108766.28870438096,104167.0,4.415303027236035
9069,119668.7484576894,114583.0,4.438484293210516
4255,134959.6519698926,129167.0,4.484622209924062
1303,82772.99006128346,79167.0,4.554915635660643
2988,62819.19365042049,65833.0,4.57795687509229
12222,130821.5853392846,125000.0,4.657268271427683
9218,144975.05544300284,152083.0,4.673727212770104
1003,66718.71613342242,70000.0,4.6875483808251115
5514,63383.60052330376,60542.0,4.69360200076601
3800,65522.94470920783,68750.0,4.693898604788606
7711,77676.15285071991,74167.0,4.7314207811019875
4431,85155.02980195243,81250.0,4.806190525479919
7855,103918.148070801,109167.0,4.808093956231273
10200,99073.48295942928,104167.0,4.8897607117136115
12454,89162.60055740447,93750.0,4.893226072101901
8466,96239.23602548598,101250.0,4.948902690878043
4182,104871.17226109425,110417.0,5.0226212801522845
5058,201320.26983773295,191667.0,5.03647985189571
10948,106020.50896239498,111667.0,5.056544043992428
10327,100709.11851027825,95833.0,5.088141360782035
10092,121729.08066608479,128333.0,5.145924535322335
1977,85435.37752853234,81250.0,5.151233881270566
535,42512.82657928733,40417.0,5.185507532195185
7576,112591.22657956778,118750.0,5.186335511942921
10329,86813.116741352,82500.0,5.228020292547881
8862,157995.45758833067,150000.0,5.330305058887111
8135,98747.36181575085,93750.0,5.330519270134236
7977,96636.41836145961,102083.0,5.335444333082285
2381,561963.9151790952,533333.0,5.368299951267826
6765,137997.01385376928,145833.0,5.3732599248666055
10326,68357.1916431511,72250.0,5.3879700440815155
6798,127362.17865047512,120833.0,5.403473099629341
4028,145802.0119486802,154167.0,5.4259264637177775
10021,108360.55333404175,114583.0,5.430514706333621
11084,228489.06716955878,241667.0,5.452930201658157
8849,82717.07879394267,87500.0,5.466195664065524
5129,216578.58789698797,229167.0,5.493117291325553
8175,121882.67725140862,129167.0,5.6394611228807525
8114,46246.01326923826,43750.0,5.7051731868303115
5103,77084.01033788393,72917.0,5.714730910328081
1743,125542.97213016434,118750.0,5.72039758329629
12520,121729.08066608479,129167.0,5.758374301420031
1321,99731.41995729196,105833.0,5.76529063969465
